week,avg-total,avg-pct,arima-total,arima-pct,ab-correct
1.0,350701.0,0.8237135824274937,353497.0,0.8302807241706517,2796.0
2.0,341356.0,0.8017643908717669,357868.0,0.8405471678614042,16512.0
3.0,350501.0,0.8232438297992277,358132.0,0.8411672413307153,7631.0
4.0,355994.0,0.8361455857345522,357600.0,0.8399176993395278,1606.0
5.0,357082.0,0.8387010400323189,357377.0,0.8393939251590112,295.0
6.0,357546.0,0.839790866129896,357995.0,0.840845460780353,449.0
7.0,360267.0,0.8461818506374543,357893.0,0.8406058869399374,-2374.0
8.0,360363.0,0.846407331899022,357398.0,0.8394432491849791,-2965.0
9.0,360401.0,0.8464965848983925,358692.0,0.84248254868986,-1709.0
10.0,360028.0,0.8456204962466765,360060.0,0.845695656667199,32.0
11.0,359741.0,0.8449464012251149,360623.0,0.8470180103157677,882.0
12.0,358688.0,0.8424731536372946,361371.0,0.8487748851454824,2683.0
13.0,357439.0,0.8395395484737737,362309.0,0.8509780249720498,4870.0
14.0,356793.0,0.8380222474844746,364171.0,0.8553514219412057,7378.0
15.0,352646.0,0.8282819267373801,365714.0,0.8589755634682776,13068.0
16.0,347005.0,0.8150325538571388,367992.0,0.8643260459042268,20987.0
17.0,333462.0,0.7832232546341097,373364.0,0.8769436014994504,39902.0
